Time_epoch,Transmitted_speed (km/hr),Transmitted_latitude (degrees),Transmitted_longitude (degrees),Transmitted_altitude (meters),Transmitted_heading_angle (degrees),Transmitted_timestamp (HH:MM:SS.mmm),Cloud_latitude (degrees),Cloud_longitude (degrees),Distance (meters),Received_packet_timestamp (HH:MM:SS.mmm),Latency_of_packet_transmission (ms),Packet_error_rate,Cloud_total_transferred_data (MBytes),Cloud_average_bandwidth_client (Mbits/sec),Cloud_total_transferred_data_server (MBytes),Cloud_average_bandwidth_server (Mbits/sec),Cloud_download_speed (Mbits/sec),Cloud_upload_speed (Mbits/sec),Cloud_latency (ms),Data_rate (Mbits/sec)
1715959855,36,17.6019437,78.127071,522.226,77.30331668,30:55.2,17.59994,78.1257,265.9996916,30:55.3,50,0.112362036,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959856,49,17.6019437,78.127071,522.226,90,30:55.3,17.59994,78.1257,265.9996916,30:55.4,58,0.285214292,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959857,58,17.6019712,78.1270727,522.247,3.537419447,30:55.4,17.59994,78.1257,268.6636766,30:55.5,53,0.219598183,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959858,44,17.6020096,78.1270747,522.195,2.981461233,30:55.5,17.59994,78.1257,272.376414,30:55.6,55,0.179597545,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959859,40,17.6020096,78.1270747,522.195,90,30:55.6,17.59994,78.1257,272.376414,30:55.7,53,0.046805592,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959860,37,17.6020568,78.1270784,522.208,4.482240399,30:55.7,17.59994,78.1257,277.03159,30:55.8,59,0.046798356,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959861,58,17.6021057,78.127083,522.214,5.373972714,30:55.8,17.59994,78.1257,281.9192351,30:55.9,53,0.017425084,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959862,50,17.6021057,78.127083,522.214,90,30:55.9,17.59994,78.1257,281.9192351,30:56.0,54,0.259852844,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959863,36,17.6021516,78.1270875,522.333,5.599339359,30:56.0,17.59994,78.1257,286.5357172,30:56.1,59,0.180334504,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959864,55,17.6021955,78.1270914,522.335,5.07673028,30:56.1,17.59994,78.1257,290.9453073,30:56.2,58,0.212421773,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959865,48,17.6021955,78.1270914,522.335,90,30:56.2,17.59994,78.1257,290.9453073,30:56.3,52,0.006175348,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959866,52,17.6022378,78.1270959,522.384,6.07245643,30:56.3,17.59994,78.1257,295.2481889,30:56.4,58,0.290972956,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959867,40,17.6022783,78.1271,522.389,5.780619739,30:56.4,17.59994,78.1257,299.3690216,30:56.5,55,0.249732792,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959868,40,17.6022783,78.1271,522.389,90,30:56.5,17.59994,78.1257,299.3690216,30:56.6,55,0.063701733,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959869,53,17.6023177,78.1271041,522.411,5.940868847,30:56.6,17.59994,78.1257,303.3947529,30:56.7,51,0.05454749,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959870,50,17.6023572,78.127108,522.449,5.638775987,30:56.7,17.59994,78.1257,307.4302464,30:56.8,51,0.055021353,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959871,33,17.6023572,78.127108,522.449,90,30:56.8,17.59994,78.1257,307.4302464,30:56.9,57,0.091272673,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
